date,usd_rub
2020-01-05,61.9057
2020-01-12,61.626171428571425
2020-01-19,61.384771428571426
2020-01-26,61.74941428571429
2020-02-02,62.66818571428571
2020-02-09,63.342528571428566
2020-02-16,63.53537142857142
2020-02-23,63.79458571428571
2020-03-01,65.51887142857143
2020-03-08,66.72297142857143
2020-03-15,71.27594285714285
2020-03-22,76.38038571428571
2020-03-29,78.53645714285715
2020-04-05,77.7325
2020-04-12,75.35040000000001
2020-04-19,73.84365714285715
2020-04-26,75.20988571428572
2020-05-03,73.66445714285715
2020-05-10,73.43038571428572
2020-05-17,73.58578571428572
2020-05-24,72.22858571428571
2020-05-31,71.18372857142857
2020-06-07,69.15238571428571
2020-06-14,68.80038571428571
2020-06-21,69.64492857142857
2020-06-28,69.20771428571429
2020-07-05,70.2117
2020-07-12,71.22717142857142
2020-07-19,71.2234
2020-07-26,71.36991428571427
2020-08-02,72.50747142857144
2020-08-09,73.5086857142857
2020-08-16,73.40542857142857
2020-08-23,73.54650000000001
2020-08-30,74.7258
2020-09-06,74.5312
2020-09-13,75.4451
2020-09-20,74.99692857142857
2020-09-27,76.35894285714286
2020-10-04,78.20291428571429
2020-10-11,77.82801428571429
2020-10-18,77.49837142857143
2020-10-25,77.24471428571428
2020-11-01,77.7790142857143
2020-11-08,78.96275714285714
2020-11-15,76.93021428571429
2020-11-22,76.38748571428572
2020-11-29,75.74727142857144
2020-12-06,75.3858
2020-12-13,73.63177142857144
2020-12-20,73.2173142857143
2020-12-27,74.43112857142857
2021-01-03,73.7955857142857
2021-01-10,73.87569999999998
2021-01-17,73.86725714285714
2021-01-24,73.81292857142857
2021-01-31,75.51208571428572
2021-02-07,75.67055714285713
2021-02-14,74.13945714285714
2021-02-21,73.71912857142857
2021-02-28,74.00748571428572
2021-03-07,74.17395714285713
2021-03-14,73.95344285714285
2021-03-21,73.53425714285713
2021-03-28,75.42125714285714
2021-04-04,75.84
2021-04-11,76.8949
2021-04-18,76.52857142857144
2021-04-25,75.89117142857143
2021-05-02,74.83237142857142
2021-05-09,74.66574285714286
2021-05-16,74.11735714285714
2021-05-23,73.71268571428571
2021-05-30,73.51555714285713
2021-06-06,73.34718571428571
2021-06-13,72.38097142857143
2021-06-20,72.0245
2021-06-27,72.55975714285714
2021-07-04,72.79805714285715
2021-07-11,74.06081428571429
2021-07-18,74.26207142857142
2021-07-25,74.10352857142857
2021-08-01,73.54117142857142
2021-08-08,73.03447142857144
2021-08-15,73.53074285714285
2021-08-22,73.81157142857144
2021-08-29,74.01198571428571
2021-09-05,73.22691428571429
2021-09-12,73.0129
2021-09-19,72.7095
2021-09-26,72.95995714285714
2021-10-03,72.77795714285715
2021-10-10,72.46342857142858
2021-10-17,71.66029999999999
2021-10-24,71.02091428571428
2021-10-31,70.27435714285714
2021-11-07,71.29071428571429
2021-11-14,71.38381428571428
2021-11-21,72.51255714285715
2021-11-28,74.4560857142857
2021-12-05,74.42645714285713
2021-12-12,73.74411428571429
2021-12-19,73.62488571428571
2021-12-26,73.62484285714287
2022-01-02,73.77808571428571
2022-01-09,74.2926
2022-01-16,74.98421428571429
2022-01-23,76.40471428571428
2022-01-30,78.03184285714285
2022-02-06,76.8078
2022-02-13,75.21924285714286
2022-02-20,75.71707142857143
2022-02-27,81.05622857142858
2022-03-06,99.35471428571428
2022-03-13,112.48625714285716
2022-03-20,109.16977142857142
2022-03-27,100.4628
2022-04-03,87.14434285714286
2022-04-10,79.8464
2022-04-17,79.26565714285714
2022-04-24,76.80217142857143
2022-05-01,72.39915714285715
2022-05-08,69.0705
2022-05-15,66.33474285714286
2022-05-22,62.072428571428574
2022-05-29,60.74554285714286
2022-06-05,62.583914285714286
2022-06-12,59.74364285714285
2022-06-19,57.08575714285714
2022-06-26,54.41061428571429
2022-07-03,52.98041428571429
2022-07-10,59.42167142857143
2022-07-17,59.12551428571429
2022-07-24,56.5631
2022-07-31,59.55391428571428
2022-08-07,60.67925714285714
2022-08-14,60.563300000000005
2022-08-21,60.38215714285714
2022-08-28,59.817485714285716
2022-09-04,60.2917
2022-09-11,60.721514285714285
2022-09-18,60.07122857142857
2022-09-25,59.587871428571425
2022-10-02,57.247728571428574
2022-10-09,59.115585714285714
2022-10-16,62.94332857142857
2022-10-23,61.71518571428572
2022-10-30,61.36378571428571
2022-11-06,61.7841
2022-11-13,61.00712857142857
2022-11-20,60.344814285714286
2022-11-27,60.51698571428572
2022-12-04,61.12627142857143
2022-12-11,62.44887142857143
2022-12-18,63.60525714285715
