@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HD 17211','A','V','Normal',8.41,4.5901,-8.667,-4.034,?,41.848403,49.07412,8.63,?,?,8.025,7.962,7.949,?,217.86
'HD 140567','F','V','Normal',10.3,2.0462,-12.525,-6.33,?,236.581754,-48.187228,10.83,?,?,9.277,9.06,9.05,?,488.71
'HIP 71361','F','V','Normal',10.13,3.8533,8.912,7.36,-3.7,218.902548,75.874624,10.49,?,?,9.441,9.277,9.237,?,259.52
'HR 8285','K','III','High_Proper_Motion',5.24,13.4853,91.684,-95.143,-44.23,325.502905,-23.262857,6.227,?,?,3.476,2.958,2.901,?,74.15
'HD 54518','M','III','Normal',8.42,1.1675,1.012,-6.026,34.55,107.08412,-19.023767,10.16,?,?,4.549,3.436,3.147,?,856.53
'HIP 4993','A','V','Normal',8.98,3.4682,11.846,-3.182,-5.3,15.999401,-34.676744,9.11,?,?,8.819,8.846,8.787,?,288.33
'HIP 6087','K','V','Normal',6.246,2.1459,7.753,-3.869,-2.32,19.542285,47.419706,7.602,?,?,4.323,3.633,3.47,?,466.0
'HD 134116','K','V','Normal',9.82,1.182,4.489,-3.539,5.34,227.28964,-35.211324,11.15,?,?,7.292,6.613,6.363,?,846.02
'HIP 52978','G','V','Normal',7.99,3.46,19.545,-19.798,-10.94,162.555134,60.609076,9.01,?,?,6.265,5.716,5.617,?,289.02
'HD 338066','K','V','Normal',10.27,0.8868,-3.412,-7.091,29.83,289.957976,27.186512,12.1,?,?,7.164,6.401,6.143,?,1127.65
'HIP 24587','A','V','Normal',7.22,4.1819,0.218,-5.086,-57.0,79.120676,36.071827,7.38,?,?,6.812,6.774,6.721,?,239.13
'HIP 90755','A','V','Normal',7.81,5.8236,-11.191,-7.744,-27.1,277.756051,5.752507,7.95,?,?,7.429,7.428,7.376,?,171.72
'HIP 44190','F','V','Normal',8.76,9.9,-58.98,-3.61,23.3,135.021265,-12.460949,9.05,?,?,7.113,6.888,6.863,?,101.01
'HIP 75980','G','II','Normal',6.84,4.2588,-5.975,-17.517,-17.64,232.745335,-47.920339,7.74,?,?,5.237,4.896,4.657,?,234.81
'HD 306572','G','V','Normal',9.792,?,-34.8,-0.4,?,172.249484,-59.998943,10.349,?,?,8.718,8.506,8.505,9.501,?
'HD 216807','A','V','Normal',9.99,3.0204,34.699,21.1,?,344.022863,-12.146507,10.09,?,?,9.711,9.712,9.672,?,331.08
'HD 95400','K','V','Normal',8.91,2.1497,1.645,-0.329,-0.56,165.22709,5.971619,9.99,?,?,7.098,6.568,6.472,?,465.18
'HIP 39082','K','V','Normal',9.41,1.1403,-3.056,0.56,5.64,119.937719,-35.424851,11.05,?,?,6.317,5.467,5.202,?,876.96
'HD 101761','K','III','Normal',8.89,3.27,-0.398,1.42,-21.89,175.617994,-42.576651,9.96,?,?,6.948,6.408,6.3,?,305.81
'HR 3601','K','V','Normal',6.665,5.7467,-1.426,-1.122,-14.41,136.041113,27.898307,6.685,?,?,6.486,6.541,6.479,?,174.01
'HR 2737','K','III','Normal',5.918,6.3708,-2.019,-19.121,-8.89,109.390494,52.131067,7.201,?,?,3.968,3.33,3.078,?,156.97
'HD 18495','G','V','High_Proper_Motion',7.27,5.0802,31.15,-84.305,66.68,44.69011,13.604447,8.35,?,?,5.405,4.855,4.73,?,196.84
'HD 160001','G','V','Normal',7.42,24.3023,89.635,-4.109,20.9,264.873084,-39.344246,8.06,?,?,6.26,5.931,5.832,?,41.15
'HD 130340','F','V','High_Proper_Motion',8.62,7.7528,-72.434,46.469,-6.41,221.37238,54.951554,9.09,?,?,7.791,7.579,7.511,?,128.99
'HD 215954','A','V','Normal',9.41,1.3723,0.464,-1.676,?,342.032805,46.251776,9.42,?,?,9.21,9.263,9.215,?,728.7
'HIP 64946','K','V','Normal',8.93,2.5117,6.754,-14.912,-23.53,199.694108,26.317271,10.08,?,?,7.075,6.574,6.458,?,398.14
'HD 258244','Unknown','V','Normal',10.3,0.8627,1.473,-11.721,0.95,97.614365,31.234448,10.89,?,?,9.316,9.077,9.023,?,1159.15
'HIP 17844','F','V','Normal',9.13,11.6838,32.996,-18.798,-7.18,57.276257,44.217563,9.62,?,?,8.101,7.88,7.832,?,85.59
'HIP 71399','F','V','High_Proper_Motion',8.89,5.8408,-16.979,-46.993,?,219.006345,-41.343294,9.21,?,?,8.191,8.085,7.998,?,171.21
'HIP 77297','K','III','Normal',7.61,3.8991,-2.878,6.728,0.44,236.717564,-17.10869,8.79,?,?,5.598,5.095,4.853,?,256.47
'HIP 33405','F','V','Normal',7.11,12.5283,-27.49,-21.464,19.78,104.215089,-3.69241,7.5,?,?,6.331,6.147,6.082,?,79.82
'HD 30570','A','III','Normal',8.46,3.2712,-8.454,-12.569,33.0,72.752999,46.262655,8.65,?,?,7.826,7.759,7.704,?,305.7
'HIP 51699','A','V','High_Proper_Motion',7.49,5.5258,-55.415,-8.399,?,158.44703,23.35067,7.69,?,?,6.972,6.912,6.887,?,180.97
'HIP 104655','F','IV','Normal',8.6,4.1216,-17.583,-1.927,?,317.99009,-51.062658,8.98,?,?,7.909,7.805,7.699,?,242.62
'HD 193036','F','V','Normal',8.1,2.6542,-7.351,-6.42,7.05,304.350562,20.949564,8.7,?,?,6.774,6.437,6.34,?,376.76
'HIP 88748','A','III','Normal',8.87,1.3803,-2.747,-1.082,?,271.759595,-13.235875,9.33,?,?,7.636,7.505,7.372,?,724.48
'HIP 13321','F','V','High_Proper_Motion',7.46,7.8185,66.336,14.723,40.0,42.861992,-0.687875,7.88,?,?,6.499,6.36,6.243,?,127.9
'HIP 21596','G','V','Normal',9.33,8.0682,26.779,-32.875,3.98,69.549452,-20.841832,9.93,?,?,8.274,8.0,7.925,?,123.94
'HIP 111153','G','V','Normal',8.96,14.9006,17.421,-29.974,15.13,337.788351,-80.696022,9.61,?,?,7.803,7.532,7.455,?,67.11
'HD 232137','A','V','Normal',8.58,2.8721,-13.163,-2.305,-24.0,3.435172,52.658729,8.69,?,?,8.328,8.266,8.239,?,348.18
'HR 1027','A','V','Normal',6.061,9.6813,0.883,-9.424,-6.2,51.108815,20.80349,6.033,?,?,6.096,6.146,6.142,?,103.29
'HD 357298','F','V','Normal',10.21,1.9382,6.025,-20.76,39.63,305.043604,12.526902,10.59,?,?,9.508,9.34,9.31,?,515.94
'HD 124696','K','III','Normal',6.907,4.0765,-47.657,-2.837,-34.44,213.547848,35.603616,8.5,?,?,3.996,3.181,2.854,?,245.31
'HD 346378','G','V','Normal',10.26,3.1202,10.864,22.214,?,304.971774,23.691115,10.88,?,?,9.221,8.963,8.9,?,320.49
'HIP 4180','K','V','Normal',9.53,3.9074,-8.326,-19.118,4.0537,13.345523,-0.775804,10.31,?,?,7.886,7.395,7.284,?,255.92
'HIP 47710','K','V','Normal',10.35,1.468,-9.779,13.986,17.7,145.908468,9.57452,11.85,?,?,8.228,7.603,7.479,?,681.2
'HIP 76201','G','V','High_Proper_Motion',7.63,12.402,-46.65,-13.559,-36.68,233.478294,-25.110507,8.17,?,?,6.525,6.282,6.196,?,80.63
'HD 142674','B','III','Normal',8.57,1.2335,-2.381,-5.16,?,239.532178,-50.67489,8.68,?,?,8.06,8.064,7.998,?,810.7
'HIP 3015','G','V','Normal',8.74,3.4615,-8.221,-13.507,2.0,9.596817,45.18679,9.21,?,?,7.937,7.8,7.734,?,288.89
'HD 336633','G','V','Normal',11.46,4.6533,-5.323,-16.533,-15.67,279.676243,24.992342,12.12,?,?,10.117,9.741,9.701,?,214.9
'HIP 14244','F','V','Normal',7.93,6.6737,6.269,-26.592,-21.09,45.924571,42.416375,8.47,?,?,6.899,6.707,6.623,?,149.84
'HD 157234','A','IV','Normal',7.27,6.4576,-1.47,-0.469,?,260.790426,-25.097531,7.43,?,?,6.905,6.828,6.797,?,154.86
'HD 17134','G','V','Normal',6.962,21.6763,152.979,54.593,-1.39,41.060899,-25.495431,7.6,?,?,5.824,5.531,5.469,?,46.13
'HD 334320','K','V','Normal',9.8,1.4112,7.049,2.904,3.45,306.134038,28.358922,11.04,?,?,7.54,6.949,6.792,?,708.62
'HIP 10582','A','V','Normal',8.47,4.2867,-9.917,-6.101,?,34.053396,27.026943,8.61,?,?,8.195,8.17,8.14,?,233.28
'HD 343458','F','V','Normal',10.01,3.1468,14.011,-17.693,?,284.192092,21.323882,10.45,?,?,8.922,8.777,8.687,?,317.78
'HR 1553','B','V','Normal',6.122,4.9132,2.092,-7.914,11.6,72.930755,9.975081,6.167,?,?,5.857,5.828,5.866,?,203.53
'HIP 99333','A','V','Normal',8.19,3.4259,1.716,-16.611,?,302.424936,-18.346672,8.26,?,?,8.196,8.315,8.253,?,291.89
'HR 8852','G','III','High_Proper_Motion',3.7,24.1958,759.268,17.568,-14.48,349.291405,3.28229,4.62,?,?,2.046,1.559,1.441,?,41.33
'HR 7821','B','V','Normal',6.117,5.9286,27.242,-19.118,-9.0,307.103769,-3.357791,6.069,?,?,6.133,6.188,6.184,?,168.67
'HD 47358','G','III','Normal',6.08,8.7315,14.83,-23.476,-9.45,99.772087,22.030883,7.121,?,?,4.75,4.079,4.116,?,114.53
'HR 880','K','III','Normal',6.544,3.9827,1.537,-4.354,6.47,43.586646,-64.43558,7.954,?,?,4.384,3.478,3.37,?,251.09
'HR 7517','G','III','High_Proper_Motion',4.887,11.0494,72.665,35.379,-23.75,296.069188,37.354356,5.83,?,?,3.454,2.937,2.637,?,90.5
'HD 357309','A','V','Normal',11.06,2.101,2.314,-6.24,?,305.209053,12.149805,11.17,?,?,10.581,10.533,10.495,?,475.96
'HD 142194','K','V','Normal',8.83,4.1447,12.091,-16.04,-25.91,237.497044,60.204691,9.8,?,?,7.127,6.619,6.532,?,241.27
'HD 44286','A','IV','High_Proper_Motion',6.75,13.8461,33.032,-39.058,26.9,95.210304,-4.595472,6.99,?,?,6.276,6.164,6.138,?,72.22
'HIP 1538','A','V','Normal',8.58,5.1487,-19.114,-0.607,-0.31,4.799689,16.31487,8.92,?,?,7.829,7.748,7.671,?,194.22
'HIP 118034','K','III','High_Proper_Motion',7.77,3.661,88.433,-29.821,-3.31,359.134712,-29.510234,9.1,?,?,5.491,4.859,4.612,?,273.15
'HIP 6368','K','III','Normal',8.53,4.9092,16.939,-3.561,?,20.45183,-1.997039,8.89,?,?,7.822,7.701,7.66,?,203.7
'HD 166142','A','V','Normal',8.64,5.1706,-11.039,-12.005,-35.0,272.19194,14.40621,8.85,?,?,8.187,8.204,8.115,?,193.4
'HIP 31750','A','III','Normal',8.19,6.0555,-4.512,18.756,?,99.622313,-45.373764,8.35,?,?,7.808,7.729,7.738,?,165.14
'HIP 77146','K','II','Normal',8.2,1.4465,-5.192,-9.079,-24.52,236.267701,-56.908837,9.48,?,?,5.869,5.282,5.107,?,691.32
'HIP 36791','A','V','Normal',8.56,2.8734,-9.691,-5.905,7.93,113.509553,-3.748973,9.59,?,?,6.721,6.207,6.102,?,348.02
'HIP 4434','F','V','Normal',8.74,6.0762,27.147,-15.355,5.29,14.186762,-34.665716,9.23,?,?,7.784,7.593,7.482,?,164.58
'HIP 24438','F','V','Normal',7.97,11.3775,2.987,6.795,19.44,78.643452,-13.924427,8.41,?,?,7.153,6.941,6.899,?,87.89
'HIP 90788','G','V','High_Proper_Motion',8.91,13.342,61.26,-74.544,?,277.828335,-17.782194,9.65,?,?,7.754,7.528,7.4,?,74.95
'HR 2412','B','IV','Normal',5.64,5.3553,-1.302,1.637,0.4,97.992959,-58.753836,5.57,?,?,5.721,5.766,5.72,?,186.73
'HD 351252','F','V','Normal',11.55,1.1678,-2.657,-7.532,-12.73,300.158941,17.498424,12.51,?,?,10.61,10.357,10.32,?,856.31
'HD 225110','K','III','Normal',9.47,2.1983,8.668,4.97,13.61,0.884814,-24.769225,10.399,?,?,7.38,6.823,6.703,?,454.9
'HIP 21368','G','V','High_Proper_Motion',8.6,18.7322,77.156,-19.558,25.526,68.769002,-41.563728,9.24,?,?,7.474,7.231,7.111,?,53.38
'HD 341908','K','V','Normal',9.5,2.123,6.478,-2.11,8.54,274.758719,22.974396,10.57,?,?,7.547,7.043,6.917,?,471.03
'HD 169369','K','III','Normal',8.84,7.923,-20.058,4.569,-29.59,276.129294,-4.994356,9.97,?,?,6.87,6.346,6.191,?,126.21
'HD 74444','K','III','Normal',8.05,2.9005,9.487,1.831,24.0,131.041172,3.063268,9.3,?,?,5.967,5.323,5.164,?,344.77
'HIP 114796','G','V','High_Proper_Motion',?,17.3422,179.686,17.307,-6.565,348.805732,52.351932,8.85,?,?,7.16,6.909,6.852,?,57.66
'HIP 65219','A','III','Normal',7.08,8.4256,-29.548,-16.834,3.2,200.48804,-51.282254,7.29,?,?,6.649,6.571,6.553,?,118.69
'HIP 29855','G','III','Normal',6.87,6.2218,-18.465,21.013,37.14,94.307888,-26.932892,7.8,?,?,5.349,4.943,4.773,?,160.73
'HD 178714','A','V','Normal',8.93,2.8219,0.417,-5.5,?,287.222873,20.371464,9.01,?,?,8.728,8.775,8.747,?,354.37
'HR 4036','K','III','High_Proper_Motion',5.561,6.0377,21.955,-54.175,14.56,153.881496,-43.11237,7.086,?,?,2.978,2.22,2.001,?,165.63
'HD 161269','G','IV','Normal',9.62,11.4271,63.566,-52.129,?,266.113838,4.509222,10.43,?,?,8.267,7.954,7.84,?,87.51
'HD 48781','K','III','Normal',5.216,8.0121,3.988,4.748,-6.51,101.9149,48.789484,6.34,?,?,3.443,2.932,2.697,?,124.81
'HIP 6680','G','III','Normal',7.59,4.235,10.392,-0.716,-10.0,21.420222,47.118532,8.56,?,?,5.962,5.452,5.347,?,236.13
'HIP 109472','B','III','Normal',5.422,6.3394,29.119,8.73,-1.7,332.656177,-11.564939,5.299,?,?,5.666,5.741,5.711,?,157.74
'HIP 93221','K','III','Normal',8.69,2.7186,0.117,-3.699,34.99,284.83833,-53.836913,9.76,?,?,6.86,6.381,6.185,?,367.84
'HD 16848','K','III','Normal',9.09,2.5233,15.067,-5.366,?,40.443355,-13.610055,10.31,?,?,7.116,6.568,6.406,?,396.31
'HIP 96948','G','V','High_Proper_Motion',?,25.9582,159.964,-60.386,-61.399,295.624003,1.586524,?,?,?,6.452,6.169,6.096,?,38.52
'HD 117336','F','III','Normal',9.55,2.6133,-20.931,-11.386,16.44,202.556365,-36.407923,9.98,?,?,8.943,8.943,8.849,?,382.66
'HD 167421','A','V','Normal',10.33,3.0433,-3.048,-15.703,?,274.307067,-43.762568,10.71,?,?,9.509,9.32,9.296,?,328.59
'HD 39041','K','III','Normal',9.1,2.4872,18.727,14.916,52.86,86.925482,-45.003238,10.38,?,?,7.011,6.413,6.262,?,402.06
'HR 3530','A','V','Normal',6.524,9.2594,-32.752,21.883,24.0,132.865875,-42.504504,6.571,?,?,6.422,6.458,6.385,?,108.0
'HD 13586','G','V','Normal',9.84,3.396,15.639,-7.702,18.92,32.936466,-35.439823,10.56,?,?,8.596,8.276,8.186,?,294.46
'HD 165707','B','IV','Normal',9.8,1.8097,-2.368,-3.081,?,272.116365,-27.507342,9.96,?,?,9.641,9.619,9.531,?,552.58
'HD 338401','A','V','Normal',11.13,1.1496,-1.374,-2.361,?,291.68603,25.191926,11.42,?,?,10.269,10.19,10.127,?,869.87
'HD 344956','A','V','Normal',9.14,2.9247,3.016,-2.765,?,296.310059,20.856364,9.16,?,?,9.073,9.091,9.093,?,341.92
'HD 230489','A','V','Normal',10.11,1.5186,3.4,-5.491,?,285.584493,10.582244,10.42,?,?,9.12,9.0,8.951,?,658.5
'HIP 32394','K','V','Normal',7.99,1.6875,2.959,-11.351,-34.58,101.443345,37.778153,9.55,?,?,5.272,4.797,4.357,?,592.59
'HR 8711','K','III','High_Proper_Motion',5.56,24.1373,-222.327,-88.641,-34.59,343.689458,-16.271957,6.7,?,?,3.924,3.271,3.175,?,41.43
'HIP 28550','K','III','Normal',9.03,2.4139,-4.357,22.413,22.22,90.406146,-11.038479,10.05,?,?,7.145,6.632,6.494,?,414.27
'HIP 82266','G','V','Normal',8.33,3.6126,5.231,4.898,-3.35,252.139674,21.390394,9.24,?,?,6.699,6.297,6.166,?,276.81
'HD 73371','A','V','Normal',10.41,1.8341,-9.068,10.855,?,128.391426,-68.588304,10.54,?,?,10.2,10.162,10.123,?,545.23
'HD 315952','K','V','Normal',10.62,1.193,-3.101,-11.241,-1.17,262.622766,-30.227865,11.57,?,?,8.328,7.785,7.625,?,838.22
'HD 54191','B','II','Normal',9.14,0.3985,-1.412,0.682,?,106.997724,2.686067,9.09,?,?,8.939,8.978,8.941,?,2509.41
'HIP 103994','G','V','High_Proper_Motion',8.34,14.0831,1.956,-88.786,17.3,316.049687,-29.148627,8.9,?,?,7.334,7.07,7.062,?,71.01
'HR 8398','F','V','High_Proper_Motion',7.16,13.8234,107.18,-25.719,-14.61,330.821235,-29.904552,7.44,?,?,6.485,6.387,6.309,?,72.34
'HR 3708','B','I','Normal',5.93,0.5375,-5.783,4.178,21.7,139.676483,-51.56065,6.47,8.63,9.65,4.59,4.4,4.261,?,1860.47
'HR 8706','B','III','Normal',6.32,3.1222,8.164,-9.309,1.6,343.297402,40.167361,6.229,?,?,6.398,6.479,6.479,?,320.29
'HD 76053','K','III','Normal',6.98,3.0023,-2.221,18.814,22.4,133.372322,-11.391865,8.5,?,?,4.302,3.357,3.227,?,333.08
'HR 9029','K','III','Normal',5.691,5.3125,37.33,-21.696,-59.791599,357.638687,-14.401497,7.187,?,?,3.023,2.225,2.058,?,188.24
'HR 3085','K','III','Normal',5.418,4.0255,-10.471,2.305,12.4,118.264611,-36.363768,6.577,?,?,3.678,3.062,2.956,?,248.42
'HR 7267','F','V','Normal',6.647,13.3904,-31.997,-102.532,10.3,287.167515,16.851311,7.113,?,?,5.722,5.531,5.484,?,74.68
'HIP 15434','K','III','High_Proper_Motion',7.46,4.7305,52.619,116.755,-9.41,49.727552,-57.978925,8.48,?,?,5.654,5.128,4.985,?,211.39
'HIP 73952','G','V','High_Proper_Motion',10.17,5.6008,47.709,-34.824,34.26,226.683921,7.628554,10.98,?,?,9.03,8.701,8.573,?,178.55
'HR 588','K','III','Normal',5.563,11.0072,-49.996,-99.751,41.125,29.911729,-42.030532,6.62,?,?,3.741,3.136,3.051,?,90.85
'HD 128564','G','III','Normal',8.46,3.1045,9.55,-11.559,16.0,219.445459,-3.370875,9.52,?,?,6.561,6.028,5.897,?,322.11
'HD 289515','K','V','Normal',8.78,0.9265,-2.834,-2.461,31.1,105.024853,1.093958,10.07,?,?,6.557,5.938,5.79,?,1079.33
'HIP 29155','B','IV','Normal',7.59,4.2301,3.576,25.178,?,92.254439,-82.157527,7.58,?,?,7.599,7.644,7.584,?,236.4
'HR 1497','B','V','Normal',4.258,8.231,3.181,-17.028,14.6,70.561247,22.956903,4.138,?,?,4.795,4.566,4.617,?,121.49
'HD 30964','K','IV','Normal',8.8,1.1984,4.245,6.786,-19.7,72.819794,-18.343972,10.2,?,?,6.387,5.627,5.449,?,834.45
'HIP 111375','A','V','Normal',9.87,1.6312,-1.144,-4.179,?,338.45058,41.674363,9.9,?,?,9.935,10.009,9.988,?,613.05
'HIP 29668','B','V','Normal',9.32,0.7559,-0.045,-0.68,?,93.750178,27.891725,9.7,?,?,8.401,8.336,8.299,?,1322.93
'HD 172811','A','I','Normal',9.13,0.3307,0.754,-1.742,69.44,280.693117,-14.466485,9.82,?,?,7.352,7.13,7.015,?,3023.89
'HIP 71913','A','II','Normal',10.51,1.5056,-7.939,-1.393,?,220.637653,-38.952434,10.63,?,?,10.086,10.035,9.974,?,664.19
'HIP 8934','G','V','Normal',7.4,2.6,-1.006,-2.183,0.44,28.745883,54.188845,8.43,?,?,5.63,5.188,5.078,?,384.62
'HIP 54024','K','II','Normal',7.07,2.6939,3.355,-2.331,-10.1,165.797841,28.930128,8.11,?,?,5.194,4.757,4.581,?,371.21
'HIP 14576','B','V','Normal',2.12,36.27,2.99,-1.66,4.0,47.042219,40.955647,2.07,?,?,2.16,1.95,2.08,?,27.57
'HIP 7657','K','III','Normal',8.61,0.9355,-3.941,-6.075,-5.04,24.652536,-8.509478,10.02,?,?,6.267,5.586,5.395,?,1068.95
'HIP 84152','G','V','High_Proper_Motion',9.299,9.4549,17.529,-122.343,-49.6,258.073845,-43.494758,9.27,9.173,10.077,7.227,6.922,6.81,?,105.77
'HD 237327','K','V','Normal',9.11,4.8319,7.544,17.012,3.87,73.688304,55.437231,9.35,?,?,8.413,8.25,8.219,?,206.96
'HIP 1864','K','V','Normal',9.22,1.4816,-11.834,-17.862,-52.93,5.905752,22.807404,10.45,?,?,6.99,6.36,6.214,?,674.95
'HR 2811','F','III','Normal',5.816,3.8939,-11.89,-8.641,0.78,110.605791,-5.982829,6.166,?,?,5.094,4.946,4.848,?,256.81
'HIP 12142','F','V','High_Proper_Motion',14.479,26.3768,230.813,-172.586,-14.17,39.129324,17.71807,13.43,11.775,13.087,9.119,8.469,8.248,10.537,37.91
'HD 43052','Unknown','V','Normal',10.41,1.7149,-1.082,3.515,?,93.395136,-13.720873,10.72,?,?,10.104,10.066,9.962,?,583.12
'HIP 96066','A','V','Normal',8.579,2.8604,-3.995,4.581,-28.5,292.99009,52.98524,8.91,?,?,8.616,8.644,8.623,?,349.6
'HIP 102856','F','V','Normal',8.91,7.7644,4.974,-4.279,-13.33,312.571486,-30.423386,9.38,?,?,8.197,8.119,8.01,?,128.79
'HD 127233','M','III','Normal',8.9,4.451,-38.874,-25.867,-2.74,217.74425,-30.097731,10.34,?,?,0.89,-0.08,-0.46,?,224.67
'HIP 97968','G','V','Normal',8.68,2.1986,7.203,-8.8,-34.28,298.659974,23.437947,9.79,?,?,6.518,5.909,5.762,?,454.83
'HIP 27640','F','V','Normal',9.1,8.0552,-4.545,-27.733,-7.26,87.76065,25.228774,9.56,?,?,8.181,8.001,7.962,?,124.14
'HR 3166','G','II','Normal',6.271,3.3065,-18.443,-3.203,14.53,120.873356,-42.948328,7.28,?,?,4.834,4.183,4.111,?,302.43
'HD 299393','K','V','Normal',10.6,1.0245,-8.27,-0.014,34.77,162.265411,-53.965977,11.68,?,?,8.754,8.218,8.09,?,976.09
'HD 125045','K','V','High_Proper_Motion',9.89,13.4483,-98.131,-126.354,-0.15,214.30915,-9.799915,10.68,?,?,8.375,7.984,7.953,?,74.36
'HD 11368','F','V','Normal',9.23,5.1097,4.323,36.336,1.68,27.851178,-15.91638,9.62,?,?,8.335,8.073,8.04,?,195.71
'HD 92228','K','III','High_Proper_Motion',9.09,3.6328,-31.691,40.559,39.21,159.622805,-28.201883,10.02,?,?,7.374,6.92,6.8,?,275.27
'HIP 113215','G','III','Normal',9.04,1.6608,18.685,-22.825,0.35,343.915913,-64.377154,10.0,?,?,7.432,6.971,6.861,?,602.12
'HD 212813','F','V','High_Proper_Motion',8.49,7.4843,70.166,27.605,-6.77,336.777799,-2.080625,9.42,?,?,6.828,6.305,6.225,?,133.61
'HIP 32193','B','V','Normal',7.25,2.3479,-4.188,5.843,30.9,100.809788,-21.862383,7.11,?,?,7.563,7.656,7.707,?,425.91
'HR 2992','A','III','Normal',6.552,0.888,-3.544,2.862,28.67,115.91296,-25.503832,6.612,?,?,6.219,6.222,6.138,?,1126.13
'HD 55419','B','II','Normal',8.89,1.7151,-5.83,2.69,33.971802,108.109792,-10.1551,8.83,?,?,9.05,9.094,9.093,?,583.06
'HIP 117816','F','V','Normal',9.05,4.5249,15.8,-2.1,10.82,358.416613,-47.589129,9.52,?,?,8.181,8.016,7.933,?,221.0
'HD 32046','F','IV','Normal',9.795,3.1141,-4.261,9.613,16.68,74.902137,-21.863474,10.139,10.04,10.667,9.065,8.881,8.869,9.722,321.12
'HR 7759','K','III','Normal',5.236,1.7177,2.245,-2.139,-20.09,304.230357,40.365076,6.871,?,?,2.697,1.844,1.56,?,582.17
'HD 334621','A','V','Normal',11.17,1.4233,-0.958,-2.928,?,307.800256,28.302853,11.44,?,?,10.836,10.858,10.807,?,702.59
'HIP 44482','M','V','Normal',8.38,0.6275,-6.265,5.64,4.29,135.94636,-54.075001,10.06,?,?,4.69,3.567,3.273,?,1593.63
'HIP 114486','K','III','Normal',6.9,3.5499,16.309,18.19,42.94,347.794947,30.043112,8.03,?,?,5.07,4.42,4.267,?,281.7
'HR 3859','F','V','Normal',6.21,9.7868,-54.002,19.898,-9.59,146.152286,64.984108,6.6,?,?,5.357,5.223,5.16,?,102.18
'HD 56473','A','V','Normal',10.76,0.7552,-0.688,-0.103,?,108.936701,-34.324445,10.88,?,?,10.466,10.419,10.407,?,1324.15
'HR 3294','B','III','Normal',4.82,1.9,-5.1,7.76,27.0,125.632059,-48.490379,4.67,?,?,5.134,5.186,5.163,?,526.32
'HR 6095','A','III','High_Proper_Motion',3.76,16.867,-47.283,43.139,-30.73,245.480061,19.153129,4.03,?,?,3.269,3.118,2.944,?,59.29
'HIP 8660','K','III','Normal',9.17,2.6701,11.081,15.023,16.76,27.901494,-38.355929,10.36,?,?,7.242,6.696,6.583,?,374.52
'HD 341140','M','V','Normal',9.3,1.0319,4.695,-5.254,-20.84,312.58599,26.598952,10.88,?,?,6.166,5.348,5.124,?,969.09
'HR 5902','B','V','Normal',5.027,7.3884,-12.977,-17.736,-2.0,238.333558,-20.167075,4.997,?,?,4.987,5.001,4.903,?,135.35
'HIP 56996','K','III','High_Proper_Motion',6.328,9.1605,-59.825,9.477,12.38,175.255451,-83.099938,7.399,?,?,4.372,3.861,3.705,?,109.16
'HD 205890','G','IV','Normal',9.09,1.9812,15.214,-3.406,-20.84,324.809053,-33.737476,10.16,?,?,7.386,6.856,6.771,?,504.74
'HIP 78409','F','V','Normal',7.93,4.6589,3.955,-25.946,?,240.098243,15.667422,8.27,?,?,7.207,7.109,7.064,?,214.64
'HD 64763','F','V','High_Proper_Motion',8.71,8.4176,-20.494,61.965,12.3808,117.710094,-66.695598,9.14,?,?,7.884,7.731,7.676,?,118.8
'HIP 101198','K','V','High_Proper_Motion',8.1,4.6337,48.657,49.311,-20.91,307.690122,27.958699,9.24,?,?,6.168,5.615,5.459,?,215.81
'HD 60558','G','V','Normal',10.04,0.6125,-4.481,8.658,27.97,113.365646,-36.890871,11.75,?,?,6.038,5.095,4.754,?,1632.65
'HD 268403','K','V','Normal',9.3,1.7066,-1.187,-2.42,-13.07,105.95125,30.082865,10.41,?,?,7.286,6.661,6.525,?,585.96
'HIP 2651','K','V','Normal',8.58,2.2098,6.044,-3.901,-9.77,8.403423,39.88423,9.73,?,?,6.341,5.759,5.594,?,452.53
'HD 70226','A','IV','Normal',9.2,4.4781,-18.189,-2.604,10.52,125.243249,2.475532,9.4,?,?,8.639,8.61,8.539,?,223.31
'HD 280175','A','V','Normal',11.18,3.5329,-3.533,-14.088,?,71.720701,34.693389,11.57,?,?,9.664,9.477,9.351,?,283.05
'HIP 53139','F','V','Normal',9.59,4.0261,-23.613,20.521,30.9543,163.049428,16.167213,9.93,?,?,8.753,8.543,8.515,?,248.38
