@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HD 245857','Unknown','V','Normal',9.93,0.7108,0.698,-4.592,4.19,84.649576,12.51211,11.23,?,?,7.504,6.924,6.71,?,1406.87
'HD 197528','M','III','Normal',8.99,0.7992,-3.428,-2.488,-8.03,311.501383,-46.527777,10.62,?,?,5.766,4.899,4.654,?,1251.25
'HD 227430','B','V','Normal',11.44,0.4771,-3.368,-5.081,?,300.97018,38.366074,11.65,?,?,10.835,10.763,10.715,?,2096.0
'HD 279027','A','V','Normal',11.33,2.2791,-10.152,-8.177,?,57.612624,35.094046,11.98,?,?,9.888,9.607,9.543,?,438.77
'HIP 91730','K','V','Normal',7.85,3.1865,7.786,14.577,-43.59,280.58626,34.55734,9.31,?,?,5.269,4.605,4.414,?,313.82
'HIP 28930','M','III','Normal',6.033,3.7146,11.503,-5.126,-36.4,91.593522,29.512412,7.679,?,?,2.111,1.216,1.036,?,269.21
'HD 214921','A','V','High_Proper_Motion',8.32,6.837,45.698,11.572,-14.78,340.307433,22.864234,8.48,?,?,8.018,7.967,7.963,?,146.26
'HD 84214','A','V','Normal',9.61,2.2,-9.95,2.319,?,145.528535,-47.669372,9.67,?,?,9.358,9.374,9.287,?,454.55
'HIP 10917','K','III','Normal',9.2,0.8841,1.641,-12.892,3.02,35.130206,-28.853119,10.68,?,?,6.615,5.851,5.613,?,1131.09
'HD 280559','G','V','Normal',10.24,1.3817,-1.005,-4.953,0.04,78.135699,38.038936,11.36,?,?,8.028,7.475,7.348,?,723.75
'HD 36927','K','V','Normal',8.01,6.177,19.212,-31.608,11.19,84.35971,46.821415,9.07,?,?,6.273,5.801,5.694,?,161.89
'HIP 59681','A','V','Normal',7.37,3.491,-52.52,0.569,?,183.575353,-33.779118,7.59,?,?,6.924,6.863,6.811,?,286.45
'HIP 89313','K','III','Normal',7.267,4.1163,11.813,-42.937,-5.33,273.362148,26.244022,8.476,?,?,5.049,4.617,4.287,?,242.94
'HD 43371','F','V','Normal',9.23,7.882,35.775,26.598,47.85,93.469079,-41.45959,9.69,?,?,8.322,8.129,8.063,?,126.87
'HD 303521','A','V','Normal',10.78,1.531,-1.655,1.97,?,164.300539,-57.645519,10.83,?,?,10.284,10.194,10.229,?,653.17
'HD 160324','F','V','Normal',10.01,6.4811,-2.397,4.39,6.639,265.446273,-49.321209,10.5,?,?,8.905,8.663,8.625,?,154.29
'HIP 31101','B','III','Normal',7.438,2.9966,-5.225,-1.548,?,97.900385,-5.368736,7.368,?,?,7.596,7.648,7.649,?,333.71
'HIP 5614','K','V','Normal',8.61,1.7897,1.475,-5.492,13.43,18.010584,-15.690834,10.14,?,?,5.982,5.268,5.034,?,558.75
'HIP 98669','G','V','Normal',8.42,7.7852,-18.784,-52.984,39.16,300.61473,-52.886817,8.97,?,?,7.361,7.118,7.008,?,128.45
'HD 277804','A','V','Normal',10.91,1.8306,-6.426,-8.732,?,78.73239,39.643321,11.17,?,?,10.19,10.068,10.0,?,546.27
'HD 203679','G','IV','High_Proper_Motion',10.115,4.7189,95.516,-15.374,-23.31,324.263557,-83.871735,10.776,9.979,10.503,8.767,8.467,8.376,9.645,211.91
'HD 68208','F','V','Normal',8.77,2.1176,-7.38,1.487,19.51,122.682961,-20.657505,9.16,?,?,8.091,7.935,7.864,?,472.23
'HD 196460','K','III','Normal',9.01,2.0241,4.46,-25.003,10.46,310.270677,-64.035612,10.03,?,?,7.241,6.794,6.619,?,494.05
'HR 7380','B','V','High_Proper_Motion',5.644,14.1456,18.172,-49.801,-6.0,291.735346,-29.743227,5.635,?,?,5.672,5.664,5.684,?,70.69
'HIP 88223','A','II','Normal',9.44,2.8327,2.598,4.419,-40.445599,270.244829,-2.034762,10.05,?,?,8.184,8.019,7.998,?,353.02
'HIP 34088','G','I','Normal',3.79,3.0729,-7.738,-0.943,9.5325,106.027213,20.570298,4.58,?,?,2.377,2.029,2.138,?,325.43
