object_id,spectral_class,v_magnitude,parallax,pm_ra,pm_dec,radial_velocity,ra_degrees,dec_degrees,b_magnitude,r_magnitude,g_magnitude,j_magnitude,h_magnitude,k_magnitude,i_magnitude,distance_pc,luminosity_class_I,luminosity_class_II,luminosity_class_III,luminosity_class_IV,luminosity_class_V,motion_type_High_Proper_Motion,motion_type_Normal
HD 105848,G,0.8381024244657322,0.03766612303727984,0.09676833320738899,-0.0010014855938868025,0.6889263171076315,0.011153687913845425,-0.3505778532601845,0.847308964616953,-0.022311163280707983,-0.031096782676706108,0.8329224835270937,0.8056784593323221,0.8095645409234449,-0.005871811388851725,-0.31181633979971624,0,0,0,0,1,0,1
HD 296472,A,1.6573381417892312,-0.4913907993416781,-0.04191654643660766,0.18533311237247377,-0.008235093979677902,-0.7267710167359375,-0.009569037974213369,1.2891071617333076,-0.022311163280707983,-0.031096782676706108,2.1024720916090582,2.091647398739688,2.0911272202370625,-0.005871811388851725,1.24356524419636,0,0,0,0,1,0,1
HD 150930,B,0.31569124240437046,-0.4473304383760065,-0.04667366066419839,0.12474179205474112,-0.008235093979677902,0.686164918500176,-1.33655607042199,-0.024506144359320123,-0.022311163280707983,-0.031096782676706108,0.7545240017531073,0.8280755961579946,0.8457876005534186,-0.005871811388851725,0.459892517215141,0,0,1,0,0,0,1
HIP 967,K,-1.2919104405753639,-0.13026055105294887,0.39768795076620306,0.2943077714949533,0.5011352123719695,-1.7456688732157022,1.2940263459204018,-0.7932350073417768,-0.022311163280707983,-0.031096782676706108,-1.6029942146891383,-1.6944019388333769,-1.748058580797972,-0.005871811388851725,-0.2496984020174814,0,0,1,0,0,1,0
HD 53361,B,0.24445335394145803,-0.2952810151369948,-0.11368754307149012,0.13079771989189157,-0.008235093979677902,-0.7371881854857655,0.0479854057121464,-0.13642835429546296,-0.022311163280707983,-0.031096782676706108,0.8369688567799441,0.9190639645122887,0.941618226663095,-0.005871811388851725,-0.10673744412515404,0,0,0,0,1,0,1
HR 7275,K,-1.4516020405463936,0.5531026606461164,-0.7572408128574816,-0.4010451842543268,0.1722394742078415,1.030854397871076,1.4008960998049245,-1.1778939709644158,-0.022311163280707983,-0.031096782676706108,-1.6778521198668797,-1.66453908973248,-1.6985384486456034,-0.005871811388851725,-0.3836556227186292,0,0,1,0,0,0,1
HR 5704,B,0.15540599336281669,0.03232883272619739,-0.1280517423382844,-0.18493293759312424,-0.6061006519136223,0.4810140961763773,-1.3937193057564579,0.1522131344872221,-0.022311163280707983,-0.031096782676706108,-1.7678839247428118,-1.701867651108601,-1.6513109152039924,-0.005871811388851725,-0.3104035491570155,0,0,0,0,1,0,1
HD 156798,K,0.48784947285641056,-0.10999626929321603,0.22297471652165438,0.36927524502045395,-0.5555817090812086,0.7599212877755309,1.2028123036263452,0.6588084005139749,-0.022311163280707983,-0.031096782676706108,0.24316358192407728,0.1580279194566237,0.14700351351443652,-0.005871811388851725,-0.2597449132544638,0,0,0,0,1,0,1
HD 191676,G,0.7609280452975762,-0.23486827361882276,0.2364817780897836,0.027569249793022194,-1.4189330217620444,1.1848130668137948,-0.12947888685928718,1.0122469582070583,-0.022311163280707983,-0.031096782676706108,0.32105626704145673,0.19675630188434923,0.16855394139556026,-0.005871811388851725,-0.1768163450527655,0,0,0,1,0,0,1
HIP 90106,G,0.8084199709395181,-0.4523588943812547,-0.005709621482167037,0.06625455953933414,-1.2057082423590293,0.9205574112388314,-0.9912857525099821,0.9945750303224046,-0.022311163280707983,-0.031096782676706108,0.46015034760820606,0.37126732631771436,0.34600108160821486,-0.005871811388851725,0.5109660202111843,0,0,1,0,0,0,1
